Sample,ID,Species,DM,Ash,Lipid_AI,CP_AI,C_AI,NDF_AI,ADF_AI,ADL_AI,Lipid_DM,CP_DM,C_DM,NDF_DM,ADF_DM,ADL_DM
1,BG1,Betula glandulosa,95.51214772,1.840621963,3.787991086,7.557342052,57.58428574,47.10758377,35.85537919,22.59259259,3.965978336,7.912440703,60.29001244,49.32103916,37.54012452,23.65415618
2,BG1,Betula glandulosa,95.56920638,1.88645596,3.725995483,7.258370399,57.77905273,44.72304163,34.67715503,21.97640118,3.898740634,7.594884037,60.45781369,46.79649787,36.2848624,22.99527433
3,PGJ1,Picea glauca,95.32096602,3.575241203,4.422205219,4.938167095,53.8307457,42.48538563,29.43616821,13.27550443,4.639278643,5.180567614,56.47314326,44.57087187,30.88110563,13.92716103
4,PGJ1,Picea glauca,95.27687939,3.496489706,5.245108273,4.784397125,53.54943085,41.61903006,28.60040568,12.76046469,5.505121817,5.021572029,56.20401423,43.6821927,30.01820154,13.39303383
5,PGJ3,Picea glauca,94.43811217,4.151614087,4.664490512,6.325697899,53.7653389,38.70003736,26.61561449,12.17781098,4.939203469,6.698246877,56.93182304,40.9792577,28.18312849,12.89501739
6,PGJ3,Picea glauca,94.52792239,4.162722827,4.864454011,5.311910629,53.87304688,39.31208706,27.39992227,12.61173727,5.146049853,5.619409054,56.9916756,41.58780397,28.98606208,13.34181156
7,PGJ2,Picea glauca,95.13038251,3.270834899,4.308290535,5.902498722,54.82043839,37.64770042,25.92255953,11.45246319,4.528827091,6.204641006,57.62663509,39.57484394,27.24950626,12.03870192
8,PGJ2,Picea glauca,95.10758956,3.295856468,4.304404184,5.567212582,53.7665062,37.03996834,24.97032054,10.98140087,4.525826176,5.853594448,56.53229826,38.94533393,26.25481379,11.54629291
9,SS2,Salix spp,94.64268722,3.248644019,1.546881697,4.713303566,55.01489639,58.02881237,48.2607168,26.75685172,1.634443973,4.980103275,58.1290515,61.31357221,50.99254703,28.27144126
10,SS2,Salix spp,94.61415822,3.217944254,1.071334515,4.264173508,55.31262589,62.00217234,51.01375815,27.87834902,1.132319449,4.506908467,58.46125667,65.53160067,53.91767903,29.46530366
11,SS3,Salix spp,95.27425182,3.24194826,1.21621558,6.004453182,55.05168152,46.06975534,37.39371855,19.78136387,1.276541727,6.302283217,57.78232887,48.35488545,39.24850401,20.76254969
12,SS3,Salix spp,95.25811274,3.280274382,1.249630886,6.970942974,55.96042633,48.63806605,39.75144705,21.00783112,1.311836704,7.317952008,58.74610017,51.05923753,41.73024839,22.05358737
13,SS1,Salix spp,95.27088348,3.391469045,1.355262727,6.289643288,53.45796967,44.65280356,36.63200891,18.73375418,1.422536118,6.601852589,56.11155026,46.86930774,38.4503718,19.66367215
14,SS1,Salix spp,95.28440619,3.309739025,1.349259482,5.135956764,52.88097,48.03636364,39.32727273,20.4,1.416033888,5.390133569,55.49803175,50.41366742,41.27356647,21.40958927
15,PGA3,Picea glauca,95.51494702,4.507800504,4.853093558,5.206026554,52.37225723,39.00462963,27.00617284,12.65432099,5.080978119,5.450483633,54.83147808,40.83615272,28.27428971,13.24852432
16,PGA3,Picea glauca,95.59320788,4.607100853,4.834293326,5.504463673,54.06521225,38.71210695,26.52984372,12.01280362,5.057151479,5.758216295,56.55758756,40.4967129,27.75285432,12.56658698
17,PGA1,Picea glauca,96.13299804,4.027195678,3.745027085,6.096755505,53.75658417,42.61883408,29.79372197,13.5426009,3.895672829,6.3420008,55.9189719,44.33319978,30.99219059,14.08735936
18,PGA1,Picea glauca,95.95302695,3.984839384,3.586206578,6.629286766,53.46926117,41.56908665,28.39578454,12.56830601,3.737460602,6.908887585,55.72441315,43.32232966,29.59342237,13.09839451
19,PGA2,Picea glauca,95.87389811,4.697844019,4.29971607,5.887942791,53.40271759,40.67729868,28.25359323,12.67966135,4.484761916,6.141340768,55.7009975,42.4279178,29.46953632,13.22535289
20,PGA2,Picea glauca,95.89041096,4.808918508,4.466763123,5.199402809,53.05954742,40.3245296,27.55049197,12.29069567,4.658195828,5.422234358,55.33352803,42.05272373,28.73122734,12.81743977
