Diet,ID,Trial,Enclosure,Date_start,Date_end,Weight_start,Weight_end,D1offer_wet,D1end_wet,D2offer_wet,D2end_wet,D3offer_wet,D3end_wet
D,B63448,1,E16,2022-02-10,2022-02-13,1387.5,1336,251.5,118.5,259.5,125.5,230,110.5
A,B63448,2,E16,2022-02-27,2022-03-02,1394,1334,304.5,160.5,307,147,311,104.5
B,B63448,3,E16,2022-03-04,2022-03-07,1345,1329,314.5,160,319.5,207.5,305,179
C,B63448,4,E16,2022-03-09,2022-03-12,1321,1317,307,181.5,307,159.5,337,208.5
A,B6361,1,E15,2022-02-10,2022-02-13,1322,1284.5,276.5,164.5,240,107,228.5,36.5
B,B6361,2,E15,2022-02-15,2022-02-18,1218.5,1211.5,277,163.5,295.5,170,297,169.5
D,B6361,3,E15,2022-02-20,2022-02-23,1219,1258,300,152.5,313,198.5,289.5,169.5
C,B6361,4,E15,2022-02-25,2022-02-28,1275,1295.5,285.5,173.5,303.5,197,292.5,164
B,B6351,1,E14,2022-02-10,2022-02-13,1308,1248,277.5,172,274.5,133,238,110
D,B6351,2,E14,2022-02-15,2022-02-18,1263.5,1245,288.5,180.5,309,190.5,297,190
A,B6351,3,E14,2022-02-20,2022-02-23,1260,1217.5,285,171.5,312,202,285,159.5
C,B6351,4,E14,2022-03-11,2022-03-14,1328,1310,300.5,160,312.5,178.5,312,187
A,30821,1,E13,2022-02-11,2022-02-14,1207,1121,269.5,156,265,77,298,184.5
B,30821,2,E13,2022-02-16,2022-02-19,1188,1195,290,189,302,167,292.5,165.5
C,30821,3,E13,2022-02-21,2022-02-24,1171,1156,308,198,283.5,195,290,233
D,30821,4,E13,2022-03-11,2022-03-14,1232,1252,336,203.5,321,178,310,155
B,B6347,1,E4D,2022-02-12,2022-02-15,1443,1484,262,150.5,293,152,267,151
C,B6347,2,E4D,2022-02-17,2022-02-20,1463.5,1399,294.5,202,293,211,293.5,210.5
D,B6347,3,E4D,2022-02-22,2022-02-25,1420,1413,290.5,175.5,317.5,196,300.5,182.5
A,B6347,4,E4D,2022-03-11,2022-03-14,1482,1422,318.5,169.5,328.5,212,322,135.4
C,B6623,1,E3C,2022-02-18,2022-02-21,1315,1327,269.5,179.5,274,169.5,266.5,158
D,B6623,2,E3C,2022-02-23,2022-02-26,1309,1317,292,195,307,204,302.5,188
A,B6623,3,E3C,2022-02-28,2022-03-03,1317,1311,344.5,228,309,136,328.5,134.5
B,B6623,4,E3C,2022-03-05,2022-03-08,1330,1336,293.5,155.5,298,159.5,296,163
C,B6617,1,E2B,2022-02-22,2022-02-25,1300,1317,291.5,163.5,302.5,177.5,290.5,172.5
A,B6617,2,E2B,2022-02-27,2022-03-02,1290,1222,302.5,190,334.5,234.5,313.5,144
D,B6617,3,E2B,2022-03-04,2022-03-07,1283,1256,310.5,172,310.5,205.5,317,210.5
B,B6617,4,E2B,2022-03-09,2022-03-09,1270,1215.5,304.5,220.5,323.5,238,310,222.5
D,B6618,1,E1A,2022-02-22,2022-02-25,1290,1252,282,153.5,309,214,301.5,216
C,B6618,2,E1A,2022-02-27,2022-03-02,1249,1245,311.5,214.5,307.5,200,307,206.5
B,B6618,3,E1A,2022-03-04,2022-03-07,1254,1270,318,212.5,315,208.5,302.5,202
A,B6618,4,E1A,2022-03-09,2022-03-12,1253,1200,312.5,210.5,318.5,214.5,322,212.5
D,B6619,1,E15,2022-03-11,2022-03-14,1336,1277,309,168,311.5,194.5,348,246
