Num,ID,Species,Ash,Dry_matter,Lipid,N,C,CP,NDF,ADF,ADL,Protein,Hemicellulose,Cellulose,Lignin,ADL/NDF,ADF/NDF
1,PGA1,Picea gluaca adult,1.840621963,95.51214772,3.787991086,0.975480855,53.75658417,6.096755505,0.426188341,0.29793722,0.135426009,6.096755344,0.128251121,0.162511211,0.135426009,0.317760943,0.699074074
2,PGA1,Picea gluaca adult,1.88645596,95.56920638,3.725995483,1.060685873,53.46926117,6.629286766,0.415690867,0.283957845,0.12568306,6.629286706,0.131733022,0.158274785,0.12568306,0.302347417,0.68309859
3,PGA2,Picea gluaca adult,3.575241203,95.32096602,4.422205219,0.942070842,53.40271759,5.887942791,0.406772987,0.282535932,0.126796614,5.887942763,0.124237055,0.155739318,0.126796614,0.311713457,0.694578895
4,PGA2,Picea gluaca adult,3.496489706,95.27687939,5.245108273,0.831904411,53.05954742,5.199402809,0.403245296,0.27550492,0.122906957,5.199402569,0.127740376,0.152597963,0.122906957,0.304794521,0.683219179
5,SS1,Salix,4.151614087,94.43811217,1.546881697,1.006342888,53.45796967,6.289643288,0.446528036,0.366320089,0.187337542,6.28964305,0.080207947,0.178982547,0.187337542,0.41954262,0.820374219
6,SS1,Salix,4.162722827,94.52792239,1.071334515,0.821753085,52.88097,5.135956764,0.480363636,0.393272727,0.204,5.135956781,0.087090909,0.189272727,0.204,0.424678274,0.818697956
7,PGJ2,Picea glauca juvenile,3.270834899,95.13038251,1.21621558,0.944399774,54.82043839,5.902498722,0.376477004,0.259225595,0.114524632,5.902498588,0.117251409,0.144700963,0.114524632,0.30420087,0.688556252
8,PGJ2,Picea glauca juvenile,3.295856468,95.10758956,1.249630886,0.890753984,53.7665062,5.567212582,0.370399683,0.249703205,0.109814009,5.5672124,0.120696478,0.139889196,0.109814009,0.29647436,0.674145299
9,PGJ3,Picea glauca juvenile,3.248644019,94.64268722,4.664490512,1.012111664,53.7653389,6.325697899,0.387000374,0.266156145,0.12177811,6.3256979,0.120844229,0.144378035,0.12177811,0.314671815,0.687741312
10,PGJ3,Picea glauca juvenile,3.217944254,94.61415822,4.864454011,0.84990567,53.87304688,5.311910629,0.393120871,0.273999223,0.126117373,5.311910438,0.119121648,0.14788185,0.126117373,0.320810678,0.696984676
11,PGA3,Picea gluaca adult,3.24194826,95.27425182,3.745027085,0.832964242,52.37225723,5.206026554,0.390046296,0.270061728,0.12654321,5.206026513,0.119984568,0.143518518,0.12654321,0.324431257,0.692383778
12,PGA3,Picea gluaca adult,3.280274382,95.25811274,3.586206578,0.880714178,54.06521225,5.504463673,0.387121069,0.265298437,0.120128036,5.504463613,0.121822632,0.145170401,0.120128036,0.310311284,0.685311284
13,PGJ1,Picea glauca juvenile,3.391469045,95.27088348,4.29971607,0.790106714,53.8307457,4.938167095,0.424853856,0.294361682,0.132755044,4.938166963,0.130492174,0.161606638,0.132755044,0.312472259,0.692853973
14,PGJ1,Picea glauca juvenile,3.309739025,95.28440619,4.466763123,0.765503526,53.54943085,4.784397125,0.416190301,0.286004057,0.127604647,4.784397038,0.130186244,0.15839941,0.127604647,0.306601684,0.687195392
15,SS2,Salix,4.507800504,95.51494702,1.355262727,0.754128575,55.01489639,4.713303566,0.580288124,0.482607168,0.267568517,4.713303594,0.097680956,0.215038651,0.267568517,0.461095973,0.83166818
16,SS2,Salix,4.607100853,95.59320788,1.349259482,0.682267785,55.31262589,4.264173508,0.620021723,0.510137581,0.27878349,4.264173656,0.109884142,0.231354091,0.27878349,0.449635036,0.822773722
17,SS3,Salix,4.027195678,96.13299804,4.853093558,0.960712492,55.05168152,6.004453182,0.460697553,0.373937185,0.197813639,6.004453075,0.086760368,0.176123546,0.197813639,0.429378532,0.811676082
18,SS3,Salix,3.984839384,95.95302695,4.834293326,1.115350842,55.96042633,6.970942974,0.486380661,0.397514471,0.210078311,6.970942763,0.08886619,0.18743616,0.210078311,0.431921595,0.817290865
19,BG1,Betula glandulosa,4.697844019,95.87389811,4.308290535,1.209174752,57.58428574,7.557342052,0.471075838,0.358553792,0.225925926,7.5573422,0.112522046,0.132627866,0.225925926,0.479595657,0.76113815
20,BG1,Betula glandulosa,4.808918508,95.89041096,4.304404184,1.161339283,57.77905273,7.258370399,0.447230416,0.34677155,0.219764012,7.258370519,0.100458866,0.127007538,0.219764012,0.491388788,0.775375595
,,,,,,,,,0.004240165,0.005602707,,,,,,,
